GRAND PRIX,DATE,CAR,RACE POSITION,PTS
United States,10 Mar 1991,Ferrari,2,6
Brazil,24 Mar 1991,Ferrari,4,3
Monaco,12 May 1991,Ferrari,5,2
Canada,02 Jun 1991,Ferrari,DNF,0
Mexico,16 Jun 1991,Ferrari,DNF,0
France,07 Jul 1991,Ferrari,2,6
Great Britain,14 Jul 1991,Ferrari,3,4
Germany,28 Jul 1991,Ferrari,DNF,0
Hungary,11 Aug 1991,Ferrari,DNF,0
Belgium,25 Aug 1991,Ferrari,DNF,0
Italy,08 Sep 1991,Ferrari,3,4
Portugal,22 Sep 1991,Ferrari,DNF,0
Spain,29 Sep 1991,Ferrari,2,6
Japan,20 Oct 1991,Ferrari,4,3
