GRAND PRIX,DATE,CAR,RACE POSITION,PTS
United States,10 Mar 1991,Dallara Judd,DNF,0
Brazil,24 Mar 1991,Dallara Judd,11,0
Monaco,12 May 1991,Dallara Judd,6,1
Canada,02 Jun 1991,Dallara Judd,9,0
Great Britain,14 Jul 1991,Dallara Judd,10,0
Germany,28 Jul 1991,Dallara Judd,10,0
Hungary,11 Aug 1991,Dallara Judd,DNF,0
Belgium,25 Aug 1991,Dallara Judd,8,0
Italy,08 Sep 1991,Dallara Judd,10,0
Portugal,22 Sep 1991,Dallara Judd,DNF,0
Spain,29 Sep 1991,Dallara Judd,15,0
Japan,20 Oct 1991,Dallara Judd,DNF,0
Australia,03 Nov 1991,Dallara Judd,7,0
